filename,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,dining table,dog,horse,motorbike,person,potted plant,sheep,sofa,train,tv,labels_gt,labels,pass,score
1710686747534_56510.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9840002655982971,-1.0,-1.0,-1.0,-1.0,0.9609572291374207,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747549_60551.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.996056318283081,-1.0,-1.0,-1.0,-1.0,0.9937267303466797,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747565_79881.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9892314076423645,-1.0,-1.0,-1.0,-1.0,0.9941402077674866,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747574_58592.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9114814400672913,-1.0,-1.0,-1.0,-1.0,0.9949135780334473,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747590_72553.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9922582507133484,-1.0,-1.0,-1.0,-1.0,0.9689063429832458,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747599_93679.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9900437593460083,-1.0,-1.0,-1.0,-1.0,0.9921448826789856,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747608_90162.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9725139737129211,-1.0,-1.0,-1.0,-1.0,0.98550945520401,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747621_27841.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9754952192306519,-1.0,-1.0,-1.0,-1.0,0.9943917393684387,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747631_80870.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9974138140678406,-1.0,-1.0,-1.0,-1.0,0.9709103107452393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686747641_95461.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9902617335319519,-1.0,-1.0,-1.0,-1.0,0.9764353632926941,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,car|dog,car|dog,1,1.0
1710686757577_36807.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.977660059928894,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9816163778305054,car|tv,car|tv,1,1.0
1710686757585_68569.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.961505651473999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9390715956687927,car|tv,car|tv,1,1.0
1710686757596_85676.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9930132031440735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9784182906150818,car|tv,car|tv,1,1.0
