filename,labels_gt,labels,pass,score
007404,bottle|person,person|sofa,0,0.8052631578947368
008126,car|person,car|person,1,1.0
006165,bicycle|person,bicycle|person,1,1.0
007534,sheep,sheep,1,1.0
001679,motorbike,motorbike,1,1.0
003641,person|sofa,person|sofa,1,1.0
007852,train,train,1,1.0
006031,sofa,sofa,1,1.0
008352,aeroplane,aeroplane,1,1.0
006502,car,car,1,1.0
004458,car,car,1,1.0
003724,cat,cat,1,1.0
007188,bird,bird,1,1.0
003840,cow,cow,1,1.0
008935,cat,cat,1,1.0
004096,sofa,sofa,1,1.0
006481,car|person,car|person,1,1.0
000248,horse|person,horse|person,1,1.0
002552,cat,cat|sofa,0,0.9
007564,chair|tv,chair|tv,1,1.0
009397,chair|tv,chair|sofa|tv,0,0.9
004933,car,car|person,0,0.9
006680,train,train,1,1.0
008734,car|chair|person,car|motorbike,0,0.7157894736842105
000856,dining table|person,chair|dining table|person,0,0.9
005725,chair|person,person,0,0.9
008946,person,person|tv,0,0.9
007747,dining table|sofa|tv,chair|potted plant|sofa|tv,0,0.7157894736842105
002852,dog,dog,1,1.0
009077,car|person,car|person,1,1.0
006197,bus,bus,1,1.0
000252,bus|car|person,bus|car,0,0.9
008411,person,person,1,1.0
002528,person,person,1,1.0
002596,horse|person,horse|person,1,1.0
003652,boat,boat,1,1.0
001736,bus,bus,1,1.0
008846,cat|potted plant,cat,0,0.9
006228,car,car,1,1.0
007881,train,train,1,1.0
005886,sheep,sheep,1,1.0
009041,motorbike|person,motorbike|person,1,1.0
005296,car,car|person,0,0.9
009364,person,person,1,1.0
003562,horse|person,cow|person,0,0.8052631578947368
005753,person|tv,chair|person|tv,0,0.9
002951,bottle|person|tv,bottle|tv,0,0.9
000401,cat,cat,1,1.0
008354,horse|person,horse|person,1,1.0
009662,dining table,chair|dining table|potted plant,0,0.8052631578947368
002996,bird,bird,1,1.0
007257,aeroplane,aeroplane,1,1.0
004160,boat,boat|person,0,0.9
003909,tv,tv,1,1.0
001437,person|potted plant,person|potted plant,1,1.0
003099,sofa,sofa,1,1.0
000025,cow|person,cow|person,1,1.0
008136,car,car,1,1.0
007507,car,car,1,1.0
009158,bird,bird,1,1.0
005883,bird,bird,1,1.0
002076,dog,dog,1,1.0
004646,sheep,sheep,1,1.0
000088,train,train,1,1.0
003026,person,person,1,1.0
004506,chair,chair,1,1.0
008785,car|person,car|person,1,1.0
005569,train,train,1,1.0
008712,train,train,1,1.0
001317,horse,horse,1,1.0
006147,person,person|sofa,0,0.9
002264,chair,chair|sofa,0,0.9
002789,car|cow|person,cow|person,0,0.9
007690,bus|person,bus|car|person,0,0.9
009322,bus|car|motorbike|person,car|motorbike|person,0,0.9
003081,bicycle|person,bicycle|person,1,1.0
009779,car|person,car|person,1,1.0
002806,motorbike|person,motorbike|person,1,1.0
005265,bus,bus,1,1.0
000062,sheep,sheep,1,1.0
003581,person,chair|person,0,0.9
002286,dog,dog,1,1.0
004904,bicycle|person,bicycle|person,1,1.0
001921,bottle|person,person,0,0.9
008473,train,train,1,1.0
000397,chair|potted plant|tv,chair|dining table|potted plant|sofa|tv,0,0.8052631578947368
002487,train,train,1,1.0
001376,car|person,car|person,1,1.0
005721,bottle|person|sofa,bottle|person|sofa,1,1.0
000139,bicycle|person,bicycle|person,1,1.0
004350,bird,bird,1,1.0
003345,chair|dining table,chair|dining table,1,1.0
007267,aeroplane|car|person,aeroplane|person,0,0.9
008092,train,train,1,1.0
004420,person,person,1,1.0
003333,motorbike,motorbike,1,1.0
000602,car|person,car|person,1,1.0
008246,bus|car,bus|car|person,0,0.9
000369,bottle|person,dining table|person,0,0.8052631578947368
003962,car,car,1,1.0
001956,car,car,1,1.0
004980,cow,cow,1,1.0
006522,horse,horse,1,1.0
000839,person|sofa,chair|person|sofa,0,0.9
007378,person,person,1,1.0
004172,car,car,1,1.0
004492,car|horse,car|dog,0,0.8052631578947368
007716,dog,dog,1,1.0
002028,bird,bird,1,1.0
007202,chair,chair,1,1.0
002243,dog,dog,1,1.0
004741,cow,cow,1,1.0
008898,dog,dog,1,1.0
006659,boat|person,boat|person,1,1.0
006552,person,bottle|person,0,0.9
008274,tv,tv,1,1.0
000265,person|tv,bottle|person|tv,0,0.9
007937,bicycle,sofa,0,0.8052631578947368
002123,potted plant,potted plant,1,1.0
000703,train,train,1,1.0
009384,bus|car,car,0,0.9
003914,sheep,sheep,1,1.0
008678,chair|person,person,0,0.9
004422,potted plant,bottle,0,0.8052631578947368
006518,bicycle,bicycle,1,1.0
000011,cat,cat,1,1.0
008507,bicycle,bicycle,1,1.0
002964,dog|person,dog|person,1,1.0
000762,bottle|person,bottle|dining table|person,0,0.9
006160,boat,boat,1,1.0
002780,horse|person,horse|person,1,1.0
004440,person,person|sofa,0,0.9
007552,person,dog|person,0,0.9
005157,car,car,1,1.0
009663,chair|sofa,chair|sofa,1,1.0
007784,train,train,1,1.0
008120,car|person,person,0,0.9
000873,motorbike,motorbike,1,1.0
008407,chair|person|tv,chair|person|tv,1,1.0
008490,chair|dining table,chair|dining table,1,1.0
000913,dog|person,dog|person,1,1.0
000031,train,train,1,1.0
007005,bicycle|person,bicycle|car|person,0,0.9
004501,dog,dog,1,1.0
003131,boat,boat,1,1.0
005163,motorbike|person,car|person,0,0.8052631578947368
002010,person,dog|person|sofa,0,0.8052631578947368
000556,train,train,1,1.0
006676,chair|sofa,chair|sofa,1,1.0
000666,horse|person,horse|person,1,1.0
004547,bicycle|person,bicycle|person,1,1.0
004923,chair|person|sofa,bottle|chair|person|sofa,0,0.9
005678,car|motorbike,car|motorbike,1,1.0
001715,potted plant,potted plant,1,1.0
001811,potted plant,chair|potted plant|sofa|tv,0,0.7157894736842105
003326,dog,dog|person,0,0.9
001511,car|person,car|person,1,1.0
009485,dog,dog|sofa,0,0.9
003584,horse|person,horse|person,1,1.0
004827,sheep,sheep,1,1.0
002200,dog,dog,1,1.0
006686,person|sofa,person|sofa,1,1.0
005748,person,person,1,1.0
005659,train,train,1,1.0
004534,bicycle|person,bicycle|person,1,1.0
004940,car,car,1,1.0
006882,car|person,car|person,1,1.0
009266,bird,bird,1,1.0
000043,person,person,1,1.0
004027,potted plant,potted plant,1,1.0
009274,person|tv,person,0,0.9
009906,tv,tv,1,1.0
008779,chair,chair,1,1.0
005460,cat,cat,1,1.0
001089,bicycle,bicycle,1,1.0
004222,potted plant|sofa|tv,potted plant|sofa|tv,1,1.0
000357,bird,bird,1,1.0
007085,car|train,train,0,0.9
004877,bird|person,bird|person,1,1.0
000239,bus|person,bus|person,1,1.0
001783,aeroplane,aeroplane,1,1.0
004795,person,person,1,1.0
004040,chair|tv,,0,0.8052631578947368
003944,bottle|person|sofa,bottle|person|sofa,1,1.0
000864,bus,bus,1,1.0
005561,bicycle|person|train,bicycle|person,0,0.9
000981,person,chair|person,0,0.9
001666,potted plant,chair|potted plant,0,0.9
001625,person|sheep,person|sheep,1,1.0
005767,chair|sofa,chair|sofa,1,1.0
002777,chair,chair|dining table|potted plant|sofa,0,0.7157894736842105
004055,bottle,bottle,1,1.0
007965,person,chair|person,0,0.9
000045,tv,tv,1,1.0
001609,dining table,chair|dining table,0,0.9
007573,bus|person,bus|car|person,0,0.9
007307,motorbike|person,motorbike|person,1,1.0
004199,aeroplane,aeroplane,1,1.0
002203,dog|person,dog|person,1,1.0
002159,chair|person,chair|person|sofa,0,0.9
002432,bird,bird,1,1.0
000157,cat|chair,cat|sofa,0,0.8052631578947368
009332,aeroplane|person,aeroplane|person,1,1.0
003361,dog,dog|sheep,0,0.9
008994,motorbike,motorbike,1,1.0
001157,motorbike|person,motorbike|person,1,1.0
009070,sofa,sofa|tv,0,0.9
001965,car,car,1,1.0
003288,cow,cow,1,1.0
003109,car,car,1,1.0
002386,train,train,1,1.0
002768,dog|person,dog|person,1,1.0
005545,chair|tv,chair|sofa|tv,0,0.9
004791,chair|person,chair|person,1,1.0
003999,bicycle,bicycle,1,1.0
004032,dining table,dining table,1,1.0
003677,car|motorbike|person,car|motorbike|person,1,1.0
000691,chair,sofa,0,0.8052631578947368
005932,car,car,1,1.0
005891,cat,cat,1,1.0
003278,bottle|person,bottle|dining table|person,0,0.9
005513,horse|person,horse|person,1,1.0
005933,train,train,1,1.0
005250,sofa|tv,sofa,0,0.9
002630,bird,bird,1,1.0
001063,horse|person,car|horse|person,0,0.9
007512,bird,bird,1,1.0
006607,dog,dog|person,0,0.9
009010,chair,chair|tv,0,0.9
009190,dog,dog,1,1.0
000342,person,person|tv,0,0.9
008996,cat|person,cat|person,1,1.0
009495,motorbike,motorbike,1,1.0
007186,bicycle|person,bicycle|person,1,1.0
003442,potted plant|sofa,potted plant|sofa|tv,0,0.9
002447,dog,dog,1,1.0
000795,train,train,1,1.0
008674,dog,dog,1,1.0
006036,person,person,1,1.0
007024,dog,dog,1,1.0
001381,cat,cat,1,1.0
002077,person,chair|person,0,0.9
001570,person,person,1,1.0
000789,sheep,sheep,1,1.0
004497,aeroplane|person,aeroplane|person,1,1.0
003062,potted plant,potted plant,1,1.0
000616,horse|person,horse|person,1,1.0
004559,chair|dining table,chair|dining table,1,1.0
006580,dog|person,dog|person,1,1.0
000974,tv,chair|sofa|tv,0,0.8052631578947368
000557,bird,bird,1,1.0
002685,bird,bird,1,1.0
005942,person,bottle|person,0,0.9
004151,motorbike,car|motorbike,0,0.9
004317,person,person,1,1.0
005432,car,car,1,1.0
008657,car,car,1,1.0
003813,cat,cat,1,1.0
003940,car,car,1,1.0
009210,car,car,1,1.0
002856,dining table|person,dining table|person,1,1.0
001103,cow,cow,1,1.0
006052,cat,cat,1,1.0
008708,car|person,car|person,1,1.0
009031,sheep,sheep,1,1.0
000741,cat,cat,1,1.0
009444,chair,chair|dining table,0,0.9
008078,cow,cow,1,1.0
003275,bicycle,bicycle,1,1.0
005633,aeroplane,aeroplane|person,0,0.9
006535,bird,bird,1,1.0
008998,boat,boat,1,1.0
004208,bicycle|person,bicycle|person,1,1.0
007239,bird,bird,1,1.0
006770,cow,cow,1,1.0
005166,car|motorbike,car,0,0.9
000472,bird,bird,1,1.0
