filename,labels_gt,labels,pass,score
COCO_val2014_000000577796.jpg,toilet,toilet,1,1.0
COCO_val2014_000000183997.jpg,boat,boat,1,1.0
COCO_val2014_000000514248.jpg,car|fire hydrant|horse|person,car|fire hydrant|person|truck,0,0.9503164556962025
COCO_val2014_000000317439.jpg,bear|person,bear,0,0.975
COCO_val2014_000000459757.jpg,giraffe,giraffe,1,1.0
COCO_val2014_000000198563.jpg,cat|toilet,cat|toilet,1,1.0
COCO_val2014_000000400925.jpg,couch|person|remote,bed|person|remote,0,0.9503164556962025
COCO_val2014_000000226496.jpg,car|motorcycle|person,motorcycle|person|umbrella,0,0.9503164556962025
COCO_val2014_000000306908.jpg,airplane|backpack|handbag|person|suitcase,airplane|handbag|person|truck,0,0.9259493670886076
COCO_val2014_000000072546.jpg,boat|giraffe,giraffe,0,0.975
COCO_val2014_000000372203.jpg,bench|fire hydrant,bench,0,0.975
COCO_val2014_000000568004.jpg,book|chair|couch|dining table|potted plant,couch|potted plant,0,0.9259493670886076
COCO_val2014_000000200296.jpg,person|skis,person|skis,1,1.0
COCO_val2014_000000234291.jpg,giraffe,giraffe,1,1.0
COCO_val2014_000000151956.jpg,person|train,train,0,0.975
COCO_val2014_000000381529.jpg,person|tie,person|tie,1,1.0
COCO_val2014_000000204186.jpg,backpack|handbag|motorcycle|person,motorcycle|person,0,0.9503164556962025
COCO_val2014_000000159320.jpg,bus|car|traffic light|truck,bus|car|person|traffic light|truck,0,0.975
COCO_val2014_000000139277.jpg,teddy bear,teddy bear,1,1.0
COCO_val2014_000000069670.jpg,car|motorcycle|truck,car|motorcycle|truck,1,1.0
COCO_val2014_000000129628.jpg,backpack|person|snowboard,person|snowboard,0,0.975
COCO_val2014_000000204206.jpg,car|fire hydrant|person,car|fire hydrant|person,1,1.0
COCO_val2014_000000463722.jpg,horse|person,horse|person,1,1.0
COCO_val2014_000000306486.jpg,bench|dining table|parking meter|umbrella,bench|car|dining table|parking meter,0,0.9503164556962025
COCO_val2014_000000343481.jpg,sheep|truck,sheep,0,0.975
COCO_val2014_000000520147.jpg,person|snowboard,person|snowboard,1,1.0
COCO_val2014_000000529004.jpg,car|cow,car|cow|truck,0,0.975
COCO_val2014_000000462527.jpg,microwave|refrigerator|sink,microwave|oven|refrigerator|sink,0,0.975
COCO_val2014_000000432626.jpg,person|remote,bed|person|remote,0,0.975
COCO_val2014_000000321798.jpg,cake|cup|dining table|person|sandwich,cake|cup|sandwich,0,0.9503164556962025
COCO_val2014_000000346412.jpg,cow,cow,1,1.0
